OMO,Address,COAFile,PossibleITBMatch,MatchType
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13991_121725125218.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13991_121725125158.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13991_120925010127.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13991_120925010030.pdf","FILENAME_OMO_MATCH"
"EQ13991","570 WILLOUGHBY AVENUE, 11206","EQ13991_121725125218.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13991_120925125917.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_121025033528.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_121025033436.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_120825040502.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_121025033733.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V5\EQ13983_121025033635.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13983_121625104200.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\COA_Downloads_V5\EQ13983_121625104211.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13983_120825040502.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13983_120825040140.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13983_120825040358.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13983_121025033733.pdf","FILENAME_OMO_MATCH"
"EQ13983","2816 FREDERICK DOUGLASS BOULEVARD, 10039","EQ13983_121625104211.pdf","G:\My Drive\HPD_Bid_Management_Project\Scripts\Diagnostics script\ITB_Downloads_V6\EQ13983_121025033635.pdf","FILENAME_OMO_MATCH"
